_id,note,tight_contact,NO_ppm,O2_vol%,SO2_ppm,H2O_ppm,soot_supplier,soot_name,soot_surface_area,mass_soot,mass_catalyst,soot_to_catalyst_mass_ratio,total_mass_g,mass_silica_beads,ramp_rate_C_min,start_temp,gas_flow_ml_min,soot_oxidation_T_max,material_id,doi,has_NOx,has_soot,temperature,soot_oxidation_co_concentration_ppm,soot_oxidation_conversion,soot_oxidation_co2_concentration_%,no2_%_of_nox,NO2_ppm,soot_oxidation_co2_concentration_ppm,no_ppm,no2_ppm,nox_ppm,total_nox_conversion_%,soot_oxidation_co2_selectivity,soot_oxidation_cox_concentration_ppm,conversion_calculated_from,soot_oxidation_cox_concentration_%,n2_ppm
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,276.8910833292796,,,,18.76284925055473,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,296.7237437369266,,,,13.307974459991843,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,316.1356229021744,,,,10.556536702440786,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,336.70039402636564,,,,17.148032423130918,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,357.2943522887581,,,,47.12131503871757,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,376.55543123996694,,,,59.437576416247786,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,396.5315950771027,,,,60.24181497079201,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,417.0987984628107,,,,53.65665896843726,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,437.7997762319404,,,,47.50169813883983,,,,,,,,,,,
6a7d9fab7bffe6ebe23a3fa1,no_oxidation_constant_ramp,,550.0,10.0,,,,,,0.0,0.045,,0.045,0.15,5,,100,,6a7d9f997bffe6ebe23a3f1c,10.1016/j.apcatb.2017.12.048,True,False,456.30442185143744,,,,43.30752162296789,,,,,,,,,,,
